provnum,STATE,overall_rating,survey_rating,quality_rating,staffing_rating,WEIGHTED_ALL_CYCLES_SCORE,SFF
35093,AZ,3,2,2,4,44.667,N
35094,AZ,3,3,2,3,28,N
35095,AZ,2,1,5,3,94.667,N
35096,AZ,2,1,3,4,112,N
35097,AZ,2,2,2,2,48.667,N
35099,AZ,1,1,1,3,70,N
35100,AZ,3,3,4,3,30,N
35101,AZ,1,2,1,2,62.667,N
35103,AZ,3,2,3,5,50,N
35105,AZ,3,3,2,3,34,N
35106,AZ,2,1,5,4,88,N
35107,AZ,2,2,2,3,49,N
35110,AZ,4,4,2,3,14,N
35111,AZ,4,3,4,4,30.667,N
35112,AZ,5,3,5,4,34,N
35114,AZ,2,2,3,2,61.333,N
35116,AZ,5,4,5,4,23.333,N
35117,AZ,5,4,5,3,14.667,N
35118,AZ,2,2,2,3,53.333,N
35120,AZ,4,3,5,3,31.333,N
35121,AZ,5,4,2,5,12,N
35125,AZ,1,1,1,4,139.333,N
35126,AZ,4,3,5,3,40.667,N
35127,AZ,4,3,3,4,40,N
35128,AZ,2,1,5,2,96,N
35129,AZ,1,1,1,4,68.667,N
35130,AZ,1,1,4,3,79.167,N
35131,AZ,4,3,4,4,26.667,N
35132,AZ,4,3,4,5,34,N
35133,AZ,5,4,5,3,23.333,N
35134,AZ,2,2,4,3,61.333,N
35135,AZ,5,5,3,4,6,N
35136,AZ,2,1,3,5,122.5,N
35137,AZ,4,3,5,3,30,N
35139,AZ,4,3,5,3,29.333,N
35140,AZ,3,2,5,3,43.333,N
35141,AZ,4,3,5,3,34.667,N
35143,AZ,3,3,3,3,28.667,N
35144,AZ,3,3,2,3,38,N
35145,AZ,4,3,2,4,40.667,N
35146,AZ,3,2,5,3,56,N
35147,AZ,1,1,4,3,87.333,N
35151,AZ,5,5,5,3,11.333,N
35152,AZ,5,3,5,4,38,N
35154,AZ,2,2,4,3,56.167,N
35157,AZ,3,2,2,5,65.333,N
35158,AZ,4,4,3,4,24,N
35159,AZ,5,5,5,3,8.667,N
35160,AZ,2,1,2,4,73.833,Y
35164,AZ,4,4,4,4,20.667,N
35165,AZ,5,4,5,4,22.667,N
35166,AZ,1,1,1,1,114,N
35169,AZ,1,2,1,1,59.333,N
35171,AZ,5,5,5,3,10.667,N
35172,AZ,2,1,4,4,83.667,N
35173,AZ,5,5,3,4,0,N
35174,AZ,5,5,5,4,4,N
35175,AZ,4,2,5,4,42,N
35176,AZ,5,4,5,4,18,N
35180,AZ,4,3,5,3,29.333,N
35183,AZ,1,1,2,3,140.5,N
